dan,ogledi
2012-11-07T00:00:00,30.0
2012-11-08T00:00:00,18.0
2012-11-09T00:00:00,18.0
2012-10-10T00:00:00,71.0
2012-11-11T00:00:00,2.0
2012-11-13T00:00:00,7.0
2012-11-14T00:00:00,9.0
2012-11-15T00:00:00,9.0
2012-11-16T00:00:00,8.0
2012-11-17T00:00:00,10.0
2012-11-18T00:00:00,7.0
2012-11-20T00:00:00,5.0
2012-11-21T00:00:00,38.0
2012-11-22T00:00:00,16.0
2012-11-23T00:00:00,14.0
2012-11-24T00:00:00,18.0
2012-11-25T00:00:00,5.0
2012-11-27T00:00:00,62.0
2012-11-28T00:00:00,18.0
2012-11-29T00:00:00,9.0
2012-11-30T00:00:00,17.0
2012-12-01T00:00:00,31.0
2012-12-02T00:00:00,9.0
2012-12-04T00:00:00,5.0
2012-12-05T00:00:00,2.0
2012-12-06T00:00:00,3.0
2012-12-07T00:00:00,3.0
2012-12-08T00:00:00,9.0
2012-12-09T00:00:00,8.0
2012-12-11T00:00:00,13.0
2012-12-12T00:00:00,0.0
2012-12-13T00:00:00,0.0
2012-12-14T00:00:00,13.0
2012-12-16T00:00:00,2.0
2012-12-18T00:00:00,20.0
2012-12-19T00:00:00,1.0
2012-12-20T00:00:00,1.0
2012-12-21T00:00:00,2.0
2012-12-22T00:00:00,2.0
2012-12-23T00:00:00,2.0
2012-12-26T00:00:00,5.0
2012-12-27T00:00:00,35.0
2012-12-28T00:00:00,20.0
2012-12-29T00:00:00,4.0
2012-12-30T00:00:00,10.0
2013-11-30T00:00:00,2.0
2013-12-04T00:00:00,1.0
2013-12-07T00:00:00,5.0
2013-12-10T00:00:00,29.0
2013-12-11T00:00:00,17.0
2013-12-12T00:00:00,15.0
2013-12-15T00:00:00,2.0
